FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2024-25,LT_EV,64,ARR approved by the Commission,A,80163.0,81721.0,84021.0,"ARR approved by the Commission | A | 80,163 | 81,721 | 84,021 | 86,298 | 88,910 | 4,21,113"
2024-25,LT_EV,64,Approved Revenue at existing tariff,B,85021.0,88667.0,92479.0,"Approved Revenue at existing tariff | B | 85,021 | 88,667 | 92,479 | 96,504 | 1,00,738 | 4,63,409"
2024-25,LT_EV,64,Approved Revenue Gap,C = A-B,-4858.0,-6946.0,-8458.0,"Approved Revenue Gap | C = A-B | -4,858 | -6,946 | -8,458 | -10,206 | -11,828 | -42,296"
2024-25,LT_EV,64,Projected Revenue at appproved tariff,D,80918.0,84400.0,88039.0,"Projected Revenue at appproved tariff | D | 80,918 | 84,400 | 88,039 | 91,883 | 95,927 | 4,41,167"
2024-25,LT_EV,64,Additional Recovery from approved tariff,E = D-B,-4103.0,-4267.0,-4440.0,"Additional Recovery from approved tariff | E = D-B | -4,103 | -4,267 | -4,440 | -4,621 | -4,811 | -22,242"
2024-25,LT_EV,64,Previous Revenue Gap recovery allowed after adjustment of current year Revenue Gap,F = E-C,755.0,2679.0,4018.0,"Previous Revenue Gap recovery allowed after adjustment of current year Revenue Gap | F = E-C | 755 | 2,679 | 4,018 | 5,585 | 7,017 | 20,054"
2024-25,LT_EV,64,Approved Revenue recovery in Case 322 of 2019 by the Commission,,4011.0,4011.0,4011.0,"Approved Revenue recovery in Case 322 of 2019 by the Commission | 4,011 | 4,011 | 4,011 | 4,011 | 4,011 | 20,055"
2024-25,General,104,MSPGCL Total,"47,840",20238.0,4.23,49392.0,"MSPGCL Total | 47,840 | 20,238 | 4.23 | 49,392 | 21,872 | 4.43 | 49,392 | 21,872 | 4.43"
2024-25,General,106,JSW,3.51,,1952.79,,"JSW | 2,120.32 | 725.07 | 3.42 | 1,952.79 | 685.95 | 3.51 | 1,952.79 | 685.95 | 3.51"
2024-25,General,106,CGPL,2.86,,5017.4,,"CGPL | 4,696.92 | 1,350.07 | 2.87 | 5,017.40 | 1,437.47 | 2.86 | 5,017.40 | 1,437.47 | 2.86"
2024-25,General,106,Adani Power,5.11,,22019.09,,"Adani Power | 19,710.82 | 7,496.65 | 3.80 | 22,019.09 | 11,246.72 | 5.11 | 22,019.09 | 11,246.72 | 5.11"
2024-25,General,106,GMR Warora/ EMCO,4.85,,1413.87,,"GMR Warora/ EMCO | 1,331.67 | 569.08 | 4.27 | 1,413.87 | 685.16 | 4.85 | 1,413.87 | 685.16 | 4.85"
2024-25,General,106,Rattan India,6.79,,2904.83,,"Rattan India | 3,356.11 | 2,122.00 | 6.32 | 2,904.83 | 1,971.09 | 6.79 | 2,904.83 | 1,971.09 | 6.79"
2024-25,General,106,Total,4.81,,33307.98,,"Total | 31,215.84 | 12,262.87 | 3.93 | 33,307.98 | 16,026.39 | 4.81 | 33,307.98 | 16,026.39 | 4.81"
2024-25,General,109,KAPP,"1,056.21",,1056.21,,"KAPP | 1,056.21 | 157.68 | 1.49 | 1,056.21 | 157.68 | 1.49"
2024-25,General,109,TAPP 1&2,"1,014.03",,1014.03,,"TAPP 1&2 | 1,014.03 | 518.22 | 5.11 | 1,014.03 | 518.22 | 5.11"
2024-25,General,109,TAPP 3&4,"3,093.33",,3093.33,,"TAPP 3&4 | 3,093.33 | 1,409.10 | 4.56 | 3,093.33 | 1,409.10 | 4.56"
2024-25,General,109,SSP,"1,080.08",,1080.08,,"SSP | 1,080.08 | 221.42 | 2.05 | 1,080.08 | 221.42 | 2.05"
2024-25,General,109,Pench,72.37,,72.37,,Pench | 72.37 | 14.84 | 2.05 | 72.37 | 14.84 | 2.05
2024-25,General,109,Dodson I,32.07,,32.07,,Dodson I | 32.07 | 5.81 | 1.81 | 32.07 | 5.81 | 1.81
2024-25,General,109,Dodson II,13.55,,13.55,,Dodson II | 13.55 | 10.43 | 7.70 | 13.55 | 10.43 | 7.70
2024-25,General,109,Non-solar,"9,689.89",,9689.89,,"Non-solar | 9,689.89 | 5,322.74 | 5.49 | 9,689.89 | 5,322.74 | 5.49"
2024-25,General,109,Solar,"3,137.10",,3137.1,,"Solar | 3,137.10 | 1,495.73 | 4.77 | 3,137.10 | 1,495.73 | 4.77"
2024-25,General,109,Hydro + Ghatghar),"4,537.89",,4537.89,,"Hydro + Ghatghar) | 4,537.89 | 730.82 | 1.61 | 4,537.89 | 730.82 | 1.61"
2024-25,General,109,Bhusawal - 3,27.66,,27.66,,Bhusawal - 3 | 27.66 | 143.50 | 51.89 | 27.66 | 143.50 | 51.89
2024-25,General,109,Bhusawal – 4 & 5,"4,934.13",,4934.13,,"Bhusawal – 4 & 5 | 4,934.13 | 2,640.44 | 5.35 | 4,934.13 | 2,640.44 | 5.35"
2024-25,General,109,Khaparkheda - 1 to 4,"3,534.50",,3534.5,,"Khaparkheda - 1 to 4 | 3,534.50 | 1,502.17 | 4.25 | 3,534.50 | 1,502.17 | 4.25"
2024-25,General,109,Khaparkheda - 5,"3,110.11",,3110.11,,"Khaparkheda - 5 | 3,110.11 | 1,415.63 | 4.55 | 3,110.11 | 1,415.63 | 4.55"
2024-25,General,109,"Nashik- 3,4 & 5","2,085.71",,2085.71,,"Nashik- 3,4 & 5 | 2,085.71 | 1,194.86 | 5.73 | 2,085.71 | 1,194.86 | 5.73"
2024-25,General,109,Chandrapur – 3 to 7,"8,457.49",,8457.49,,"Chandrapur – 3 to 7 | 8,457.49 | 3,303.41 | 3.91 | 8,457.49 | 3,303.41 | 3.91"
2024-25,General,109,Paras - 3,"2,480.98",,2480.98,,"Paras - 3 | 2,480.98 | 1,265.18 | 5.10 | 2,480.98 | 1,265.18 | 5.10"
2024-25,General,109,Parli - 4,(6.05),8.91,8.91,,Parli - 4 | (6.05) | 8.91 | (14.74) | (6.05) | 8.91 | (14.74)
2024-25,General,109,Parli - 6,"1,393.83",,1393.83,,"Parli - 6 | 1,393.83 | 925.87 | 6.64 | 1,393.83 | 925.87 | 6.64"
2024-25,General,109,Koradi - 6,429.72,,429.72,,Koradi - 6 | 429.72 | 457.73 | 10.65 | 429.72 | 457.73 | 10.65
2024-25,General,109,GTPS Uran,"2,525.01",,2525.01,,"GTPS Uran | 2,525.01 | 709.68 | 2.81 | 2,525.01 | 709.68 | 2.81"
2024-25,General,109,Parli Replacement U 8,778.11,,778.11,,Parli Replacement U 8 | 778.11 | 593.73 | 7.63 | 778.11 | 593.73 | 7.63
2024-25,General,109,Chandrapur - 8,"3,161.80",,3161.8,,"Chandrapur - 8 | 3,161.80 | 1,638.21 | 5.18 | 3,161.80 | 1,638.21 | 5.18"
2024-25,General,109,Chandrapur - 9,"3,121.95",,3121.95,,"Chandrapur - 9 | 3,121.95 | 1,488.53 | 4.77 | 3,121.95 | 1,488.53 | 4.77"
2024-25,General,109,Koradi R U-8,"2,532.47",,2532.47,,"Koradi R U-8 | 2,532.47 | 1,210.99 | 4.78 | 2,532.47 | 1,210.99 | 4.78"
2024-25,General,109,Koradi 9,"2,804.29",,2804.29,,"Koradi 9 | 2,804.29 | 1,289.33 | 4.60 | 2,804.29 | 1,289.33 | 4.60"
2024-25,General,109,Koradi10,"2,889.49",,2889.49,,"Koradi10 | 2,889.49 | 1,489.48 | 5.15 | 2,889.49 | 1,489.48 | 5.15"
2024-25,General,109,MSPGCL Dhariwal,592.66,,592.66,,MSPGCL Dhariwal | 592.66 | 171.22 | 2.89 | 592.66 | 171.22 | 2.89
2024-25,General,109,KSTPS,"4,498.24",,4498.24,,"KSTPS | 4,498.24 | 953.11 | 2.12 | 4,498.24 | 953.11 | 2.12"
2024-25,General,110,KSTPS III,855.46,,855.46,,KSTPS III | 855.46 | 239.41 | 2.80 | 855.46 | 239.41 | 2.80
2024-25,General,110,VSTP I,"2,954.21",,2954.21,,"VSTP I | 2,954.21 | 804.15 | 2.72 | 2,954.21 | 804.15 | 2.72"
2024-25,General,110,VSTP II,"2,278.92",,2278.92,,"VSTP II | 2,278.92 | 577.71 | 2.54 | 2,278.92 | 577.71 | 2.54"
2024-25,General,110,VSTP III,"2,019.50",,2019.5,,"VSTP III | 2,019.50 | 564.25 | 2.79 | 2,019.50 | 564.25 | 2.79"
2024-25,General,110,VSTP IV,"2,165.63",,2165.63,,"VSTP IV | 2,165.63 | 706.60 | 3.26 | 2,165.63 | 706.60 | 3.26"
2024-25,General,110,VSTP V,"1,236.97",,1236.97,,"VSTP V | 1,236.97 | 415.24 | 3.36 | 1,236.97 | 415.24 | 3.36"
2024-25,General,110,Kawas,425.41,,425.41,,Kawas | 425.41 | 231.98 | 5.45 | 425.41 | 231.98 | 5.45
2024-25,General,110,Gandhar,93.29,,93.29,,Gandhar | 93.29 | 181.60 | 19.47 | 93.29 | 181.60 | 19.47
2024-25,General,110,KhSTPS-II,"1,055.22",,1055.22,,"KhSTPS-II | 1,055.22 | 331.78 | 3.14 | 1,055.22 | 331.78 | 3.14"
2024-25,General,110,SIPAT TPS 2,"1,989.04",,1989.04,,"SIPAT TPS 2 | 1,989.04 | 551.09 | 2.77 | 1,989.04 | 551.09 | 2.77"
2024-25,General,110,SIPAT TPS 1,"3,902.47",,3902.47,,"SIPAT TPS 1 | 3,902.47 | 1,115.55 | 2.86 | 3,902.47 | 1,115.55 | 2.86"
2024-25,General,110,Mauda I,"1,901.90",,1901.9,,"Mauda I | 1,901.90 | 1,160.29 | 6.10 | 1,901.90 | 1,160.29 | 6.10"
2024-25,General,110,Mauda II,"2,289.61",,2289.61,,"Mauda II | 2,289.61 | 1,358.63 | 5.93 | 2,289.61 | 1,358.63 | 5.93"
2024-25,General,110,NTPC Solapur,385.61,,385.61,,NTPC Solapur | 385.61 | 903.44 | 23.43 | 385.61 | 903.44 | 23.43
2024-25,General,110,Lara,422.86,,422.86,,Lara | 422.86 | 201.11 | 4.76 | 422.86 | 201.11 | 4.76
2024-25,General,110,Gadarwara,32.62,,32.62,,Gadarwara | 32.62 | 60.57 | 18.57 | 32.62 | 60.57 | 18.57
2024-25,General,110,Khargone,33.64,,33.64,,Khargone | 33.64 | 19.67 | 5.85 | 33.64 | 19.67 | 5.85
2024-25,General,110,RRAS (Gas),,35.55,35.55,,RRAS (Gas) | 35.55 | 35.55
2024-25,General,110,NTPC NVVN Coal,131.01,,131.01,,NTPC NVVN Coal | 131.01 | 46.13 | 3.52 | 131.01 | 46.13 | 3.52
2024-25,General,110,APML 125 MW,954.60,,954.6,,APML 125 MW | 954.60 | 452.18 | 4.74 | 954.60 | 452.18 | 4.74
2024-25,General,110,APML 1320 MW,"9,571.05",,9571.05,,"APML 1320 MW | 9,571.05 | 5,114.31 | 5.34 | 9,571.05 | 5,114.31 | 5.34"
2024-25,General,110,APML 1200 MW,"9,164.19",,9164.19,,"APML 1200 MW | 9,164.19 | 4,340.97 | 4.74 | 9,164.19 | 4,340.97 | 4.74"
2024-25,General,110,APML 440 MW,"2,329.24",,2329.24,,"APML 440 MW | 2,329.24 | 1,339.25 | 5.75 | 2,329.24 | 1,339.25 | 5.75"
2024-25,General,110,RIPL 450 MW,"1,089.31",,1089.31,,"RIPL 450 MW | 1,089.31 | 744.07 | 6.83 | 1,089.31 | 744.07 | 6.83"
2024-25,General,110,RIPL 750 MW,"1,815.52",,1815.52,,"RIPL 750 MW | 1,815.52 | 1,227.02 | 6.76 | 1,815.52 | 1,227.02 | 6.76"
2024-25,General,110,Short Term,"1,451.02",,1451.02,,"Short Term | 1,451.02 | 517.10 | 3.56 | 1,451.02 | 517.10 | 3.56"
2024-25,General,110,Intra State,9.33,,9.33,,Intra State | 9.33 | 8.59 | 9.21 | 9.33 | 8.59 | 9.21
2024-25,General,110,Reactive Charges,,0.01,0.01,,Reactive Charges | 0.01 | 0.01
2024-25,General,110,PGCIL Charges,,3902.33,3902.33,,"PGCIL Charges | 3,902.33 | 3,902.33"
